OBJECTID,X,Y,areaUnitID,bicycle,bus,carStationWagon,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashSeverity,crashSHDescription,crashYear,directionRoleDescription,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,otherVehicleType,parkedVehicle,pedestrian,region,roadCharacter,roadLane,roadSurface,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA
340432,1930341.0,5604822.0,548200.0,0.0,0.0,2.0,Null,2017/2018,HASTINGS ST NORTH,ST AUBYN ST EAST,Minor Crash,No,2017,West,0.0,,Flat,,,,,Overcast,1494400.0,1.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Urban,0.0,,,Fine
703411,1929833.0,5604896.0,548200.0,0.0,0.0,2.0,South,2015/2016,HERETAUNGA ST EAST,RUSSELL ST SOUTH,Non-Injury Crash,No,2016,South,0.0,,Flat,,,,,Bright sun,1492100.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Unknown,,,,,0.0,0.0,Urban,0.0,,,Fine
263731,1933283.0,5600884.0,548832.0,0.0,0.0,1.0,Null,2005/2006,TANNER ST,TAINUI DRIVE,Non-Injury Crash,No,2006,West,0.0,,Hill Road,,,,,Bright sun,1508800.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Give way,,,,,1.0,0.0,Urban,0.0,,,Fine
662815,1928678.0,5609906.0,545710.0,0.0,0.0,1.0,Null,2004/2005,RAUPARE ROAD,EVENDEN ROAD,Serious Crash,No,2005,North,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1470700.0,2.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,1.0,0.0,100.0,0.0,On,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,1.0,Fine
364399,1934619.0,5608465.0,545722.0,0.0,0.0,2.0,South,2003/2004,SH 2,STATION ROAD,Non-Injury Crash,Yes,2004,North,0.0,0.0,Flat,0.0,Easter,0.0,0.0,Bright sun,1406300.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine
551389,1929739.0,5601654.0,545762.0,0.0,0.0,1.0,North,2016/2017,ST GEORGES ROAD,TE AUTE ROAD,Non-Injury Crash,No,2017,North,0.0,1.0,Flat,0.0,,0.0,0.0,Overcast,1468600.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Light rain
105484,1923851.0,5609727.0,545842.0,0.0,0.0,1.0,Null,1999/2000,OMAHU ROAD,HILL ROAD,Non-Injury Crash,No,2000,North,0.0,,Flat,,,,,Bright sun,1469704.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,100.0,,Null,0.0,0.0,,30.0,Hastings District,Nil,,,,,1.0,0.0,Open,0.0,,,Fine
337992,1927876.0,5607157.0,547800.0,0.0,0.0,1.0,Null,2011/2012,OMAHU ROAD,STONYCROFT ST,Non-Injury Crash,No,2011,North,0.0,,Flat,,,,,Bright sun,1476600.0,0.0,0.0,1.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Urban,0.0,,,Fine
664749,1931699.0,5605377.0,548000.0,0.0,0.0,2.0,East,2003/2004,COLLINGE ROAD,WILLOWPARK ROAD NORTH,Non-Injury Crash,No,2004,East,0.0,,Flat,,,,,Dark,1496900.0,0.0,0.0,0.0,1.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,On,0.0,0.0,,30.0,Hastings District,Nil,,,,,0.0,0.0,Urban,0.0,,,Light rain
573332,1932619.0,5601662.0,548831.0,0.0,0.0,1.0,East,2012/2013,TE MATA ROAD,JOLL ROAD,Minor Crash,No,2012,East,0.0,,Flat,,,,,Overcast,1509700.0,1.0,0.0,0.0,2.0,0.0,,1.0,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Nil,,,,,0.0,0.0,Urban,0.0,,,Light rain
312215,1930757.0,5606610.0,547600.0,0.0,0.0,2.0,Null,1999/2000,TOMOANA ROAD,WILLIAMS ST,Non-Injury Crash,No,2000,East,0.0,,Flat,,,,,Bright sun,1484000.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Stop,,,,,0.0,0.0,Urban,0.0,,,Fine
155343,1936362.0,5611140.0,545730.0,0.0,0.0,0.0,Null,2014/2015,SH 2,SCHOOL ROAD,Non-Injury Crash,Yes,2015,North,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,1405500.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Give way,0.0,0.0,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Fine
215492,1932274.0,5609028.0,545721.0,0.0,0.0,2.0,Null,2001/2002,PAKOWHAI ROAD,RUAHAPIA ROAD,Serious Crash,No,2001,South,0.0,,Flat,,,,,Bright sun,1471600.0,1.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,2.0,,100.0,,Null,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Open,0.0,,,Fine
689819,1928892.0,5606140.0,547700.0,0.0,0.0,1.0,South,2001/2002,HERETAUNGA ST WEST,STORTFORD ST,Non-Injury Crash,No,2001,South,0.0,0.0,Flat,0.0,,1.0,0.0,Bright sun,1486700.0,0.0,0.0,0.0,2.0,0.0,1.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Fine
250514,1929821.0,5604912.0,548200.0,0.0,0.0,2.0,Null,2003/2004,HERETAUNGA ST EAST,RUSSELL ST NORTH,Non-Injury Crash,No,2004,West,0.0,,Flat,,,,,Dark,1492100.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Off,0.0,0.0,,30.0,Hastings District,Nil,,,,,0.0,0.0,Urban,0.0,,,Fine
60289,1929560.0,5605258.0,548200.0,0.0,0.0,1.0,Null,2012/2013,NELSON ST SOUTH,HERETAUNGA ST WEST,Non-Injury Crash,No,2012,North,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,1490100.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Traffic Signals,0.0,1.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine
527607,1930011.0,5605395.0,548200.0,0.0,0.0,2.0,East,2017/2018,KING ST NORTH,ST AUBYN ST WEST,Non-Injury Crash,No,2017,South,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,1491000.0,0.0,0.0,0.0,2.0,0.0,1.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Light rain
352095,1928503.0,5606043.0,548500.0,0.0,0.0,1.0,Null,2007/2008,MARAEKAKAHO ROAD,MARAEKAKAHO ROD,Minor Crash,No,2008,South,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1479600.0,1.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,On,0.0,0.0,,30.0,Hastings District,Give way,0.0,0.0,0.0,1.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine
175825,1924754.0,5619334.0,545821.0,0.0,0.0,0.0,West,2017/2018,MOTEO PA ROAD,SWAMP ROAD,Serious Crash,No,2017,East,0.0,1.0,Flat,0.0,,0.0,0.0,Bright sun,1408500.0,1.0,0.0,0.0,1.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,1.0,0.0,100.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,Open,1.0,0.0,0.0,Fine
338565,1931354.0,5614672.0,545831.0,0.0,0.0,2.0,North,2012/2013,SH 50,PAKOWHAI ON NBD,Non-Injury Crash,Yes,2013,North,0.0,,Flat,,,,,Bright sun,1404600.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,100.0,,Null,0.0,0.0,,30.0,Hastings District,Nil,,,,,0.0,0.0,Open,0.0,,,Fine
374971,1930198.0,5632639.0,545811.0,0.0,0.0,1.0,West,2013/2014,SH 5,YULE ROAD,Minor Crash,Yes,2013,East,0.0,1.0,Flat,0.0,,0.0,0.0,Dark,1414700.0,1.0,0.0,0.0,1.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine
736240,1930935.0,5613540.0,545831.0,0.0,0.0,2.0,Null,2000/2001,SH 50,SH 50A,Non-Injury Crash,Yes,2001,East,0.0,,Flat,,,,,Twilight,1404600.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,100.0,,Off,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Open,0.0,,,Fine
132756,1922702.0,5609941.0,545710.0,0.0,0.0,1.0,Null,2015/2016,SH 50,MERE ROAD,Non-Injury Crash,Yes,2015,West,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1469703.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,30.0,Hastings District,Stop,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Light rain
503578,1930473.0,5607553.0,545721.0,0.0,0.0,0.0,Null,2006/2007,PAKOWHAI ROAD,EVENDEN ROAD,Non-Injury Crash,No,2006,North,0.0,1.0,Flat,0.0,,0.0,1.0,Dark,1471401.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,On,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Light rain
243253,1929548.0,5604672.0,548200.0,0.0,0.0,1.0,Null,2000/2001,SOUTHAMPTON ST WEST,RAILWAY ROAD,Non-Injury Crash,No,2000,South,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1489700.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Rail xing,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,On,0.0,0.0,,30.0,Hastings District,Traffic Signals,0.0,1.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine
324122,1923571.0,5609979.0,545710.0,1.0,0.0,1.0,South,2016/2017,OMAHU ROAD,SH 50,Minor Crash,No,2017,South,0.0,,Flat,,,,,Overcast,1470500.0,1.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,100.0,,Null,0.0,0.0,,30.0,Hastings District,Nil,,,,,0.0,0.0,Open,0.0,,,Light rain
567959,1924459.0,5607937.0,548612.0,0.0,0.0,2.0,Null,1999/2000,DIAZ DRIVE,FLAXMERE AVENUE,Non-Injury Crash,No,2000,North,0.0,,Flat,,,,,Dark,1474106.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,On,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Urban,0.0,,,Fine
435619,1930204.0,5607191.0,547600.0,0.0,0.0,2.0,West,2005/2006,MANUKA ST,KAURI ST,Non-Injury Crash,No,2006,North,0.0,1.0,Flat,0.0,,0.0,0.0,Dark,1482800.0,0.0,0.0,0.0,2.0,0.0,1.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,On,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Light rain
668244,1931533.0,5608361.0,545710.0,0.0,0.0,1.0,South,2012/2013,PAKOWHAI ROAD,ELWOOD ROAD,Minor Crash,No,2013,South,0.0,1.0,Flat,0.0,Christmas New Year,0.0,0.0,Dark,1471100.0,3.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,On,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine
197526,1928356.3669999999,5606706.7661,547800.0,0.0,0.0,1.0,Null,2019/2020,KARAITIANA STREET,OMAHU ROAD,Non-Injury Crash,No,2019,West,0.0,,Flat,,,,,Bright sun,1477400.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Give way,,,,,1.0,0.0,Urban,0.0,,,Fine
740424,1919245.0,5593807.0,545851.0,0.0,0.0,1.0,East,2001/2002,SH 2,HORONUI ROAD,Minor Crash,Yes,2001,North,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1463900.0,1.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,1.0,0.0,0.0,Open,0.0,0.0,0.0,Heavy rain
309702,1925469.0,5606288.0,548620.0,0.0,0.0,2.0,Null,1999/2000,WILSON ROAD,PETERHEAD AVENUE,Non-Injury Crash,No,2000,North,0.0,,Flat,,Easter,,,Bright sun,1474800.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Urban,0.0,,,Fine
